employee,total_sales,sale_date,region,notes
Matthew,5496.001124,06-28-2025,East,
Aaron,1882.0,3rd July 2025,West,
Bethany,2052.0,3rd June 2025,West,
Andrea,2190.0,01 Jul 2025,West,Sold extras
Nicholas,1474.0,02 Jun 2025,South,bonus applied
Jesus,4637.001958,2025/05/14,East,Sold extras
Robin,1700.0,16.06.2025,Central,
Elizabeth,5253.00148,05-24-2025,Central,bonus applied
Wayne,4273.001352,3rd July 2025,West,✓
Craig,1510.0,19.05.2025,West,Late entry
Stephen,1465.0,06-18-2025,South,Late entry
Charles,1152.0,04 Jun 2025,West,Late entry
Heather,2855.00568,06-10-2025,West,duplicate?
Norman,1140.0,06-09-2025,East,
Tony,1192.0,01.07.2025,North,✓
Barry,2319.0,3rd June 2025,North,Late entry
Ryan,7399.002288,3rd May 2025,South,
Jane,1441.0,3rd May 2025,East,Sold extras
Rebecca,1508.0,15.05.2025,North,Late entry
Dustin,2433.0,06-30-2025,West,Late entry
Hector,1193.002457,2025/05/26,North,✓
Monica,5573.00922,2025/06/02,North,✓
Tyler,522.0,06-03-2025,Central,
Steve,1870.0,3rd June 2025,Central,
Erica,8635.001306,2025/06/21,North,bonus applied
Kevin,1912.0,20 Jun 2025,South,
Kevin,2338.0,06-16-2025,West,
Melissa,661.0,06-13-2025,West,
Bailey,1794.0,17.06.2025,North,
Ashlee,2653.001125,05-14-2025,East,duplicate?
Julie,4138.001956,3rd June 2025,North,Late entry
Laurie,836.0,3rd May 2025,North,
Christine,1494.0,23 May 2025,Central,
Debbie,1912.0,3rd June 2025,East,duplicate?
Michael,5101.00142,22.05.2025,Central,
Christopher,2743.0,27.05.2025,East,✓
Nancy,5667.002141,14 Jun 2025,Central,Late entry
Alyssa,8050.00532,03 Jun 2025,West,duplicate?
Tammy,2847.0,07.06.2025,South,Late entry
Matthew,756.0,17.05.2025,Central,
