EMP_NAME;TOT@L;SaLe DATE; Region ;;NOTES
Karen;$687;03 Jun 2025;central;;  
 james ;7730.001628,00;22 May 2025;EAST;;
 thomas ;"""1120""";3rd June 2025;NORTH;;
KATIE;2, 256.00;07.07.2025;central;;  
Kimberly;$1015;05-25-2025;EAST;;Late entry
DANIEL;"""1745""";2025/06/09;North;;  
 barbara ;"""1384""";05-29-2025;central;;  
HANNAH;2033.002069,00;2025/05/19;south ;;
Gabrielle;6100.001977,00;21.05.2025;West;;Late entry
 laura ;7436.002402,00;3rd June 2025;central;;
 ross ;7511.00820,00;06-12-2025;West;;Late entry
Tracy;1105.001988,00;21.06.2025;weSt ;;✓
CYNTHIA;$2048;05-24-2025;south ;;Sold extras
Tammy;"""1383""";2025/06/05;EAST;;
SAMANTHA;$1751;06-24-2025;West;;duplicate?
 ryan ;"""1954""";02 Jun 2025;weSt ;;✓
Nicole;2, 842.00;3rd June 2025;EAST;;
 karen ;1, 308.00;3rd June 2025;weSt ;;  
MELISSA;$2284;30.05.2025;North;;  
Joshua;"""1078""";2025/07/06;south ;;bonus applied
Alejandro;"""2417""";28 May 2025;North;;
Tracy;8076.001942,00;2025/06/02;south ;;✓
Travis;"""1230""";3rd May 2025;North;;bonus applied
JEFFREY;2226.001741,00;08.06.2025;EAST;;
Angela;"""2366""";12.06.2025;south ;;
JULIE;1, 997.00;06-23-2025;central;;duplicate?
 joseph ;$2285;3rd May 2025;weSt ;;
JULIA;$1357;27 May 2025;south ;;bonus applied
JOANNA;$1216;2025/07/06;central;;✓
ALICIA;1, 349.00;19.05.2025;central;;duplicate?
Michael;1, 822.00;3rd June 2025;West;;Late entry
 alexis ;"""1027""";15 May 2025;NORTH;;Late entry
 angela ;$1085;2025/06/26;central;;
Justin;6359.00691,00;25.06.2025;EAST;;Late entry
Brett;"""1699""";3rd June 2025;EAST;;
 danny ;"""2080""";07-05-2025;weSt ;;
Edward;$2201;2025/07/03;West;;duplicate?
 stacy ;"""1447""";07-03-2025;EAST;;Sold extras
Krystal;"""2128""";31.05.2025;West;;  
 kimberly ;$1379;07 Jun 2025;West;;bonus applied
VERONICA;"""1745""";15.05.2025;weSt ;;
Stacey;$842;3rd May 2025;NORTH;;Late entry
JOSEPH;"""2396""";3rd June 2025;West;;duplicate?
 glenn ;$681;22 Jun 2025;West;;Late entry
Antonio;$628;2025/06/06;south ;;✓
 jasmine ;$2448;01.06.2025;North;;Sold extras
Colleen;9478.001205,00;3rd May 2025;weSt ;;Late entry
 ronald ;$1456;06-04-2025;central;;Late entry
CHARLES;4407.001928,00;2025/06/08;EAST;;bonus applied
 brooke ;1, 542.00;21 Jun 2025;West;;
 david ;$1046;05 Jun 2025;central;;bonus applied
 vincent ;"""975""";05-13-2025;West;;Late entry
JESSICA;1, 546.00;05-12-2025;West;;bonus applied
Mary;1, 250.00;04 Jul 2025;south ;;Late entry
Kathy;1, 677.00;2025/06/05;weSt ;;bonus applied
 barbara ;9248.00656,00;06-29-2025;West;;Late entry
SABRINA;"""1908""";05.07.2025;central;;
 ryan ;1, 291.00;24 Jun 2025;central;;✓
MATHEW;"""2220""";3rd May 2025;south ;;Late entry
Keith;3210.002162,00;2025/06/17;West;;
 lisa ;4549.001940,00;09 Jun 2025;south ;;bonus applied
 johnny ;"""1707""";3rd June 2025;weSt ;;
 mallory ;"""2456""";23.06.2025;weSt ;;
JACOB;"""1057""";06-27-2025;EAST;;
James;"""1817""";02 Jul 2025;North;;Sold extras
KEITH;"""2423""";3rd June 2025;south ;;Late entry
TERESA;2, 428.00;02.06.2025;NORTH;;✓
 jennifer ;$1868;3rd June 2025;central;;Late entry
Robin;1, 862.00;23 Jun 2025;EAST;;bonus applied
 stacey ;2, 966.00;3rd June 2025;North;;  
Mary;6369.001995,00;3rd June 2025;West;;✓
 john ;$1441;07.07.2025;North;;  
Michelle;"""1141""";05.06.2025;West;;
Matthew;5496.001124,00;06-28-2025;EAST;;
AARON;1, 882.00;3rd July 2025;weSt ;;
 bethany ;"""2052""";3rd June 2025;weSt ;;
Andrea;"""2190""";01 Jul 2025;weSt ;;Sold extras
 nicholas ;$1474;02 Jun 2025;south ;;bonus applied
JESUS;4637.001958,00;2025/05/14;EAST;;Sold extras
Robin;1, 700.00;16.06.2025;central;;  
ELIZABETH;5253.001480,00;05-24-2025;central;;bonus applied
Wayne;4273.001352,00;3rd July 2025;West;;✓
CRAIG;"""1510""";19.05.2025;weSt ;;Late entry
STEPHEN;$1465;06-18-2025;south ;;Late entry
Charles;1, 152.00;04 Jun 2025;weSt ;;Late entry
HEATHER;2855.00568,00;06-10-2025;West;;duplicate?
Norman;1, 140.00;06-09-2025;EAST;;
Tony;"""1192""";01.07.2025;North;;✓
 barry ;$2319;3rd June 2025;North;;Late entry
Ryan;7399.002288,00;3rd May 2025;south ;;
JANE;1, 441.00;3rd May 2025;EAST;;Sold extras
REBECCA;"""1508""";15.05.2025;North;;Late entry
Dustin;$2433;06-30-2025;weSt ;;Late entry
Hector;1193.002457,00;2025/05/26;NORTH;;✓
MONICA;5573.00922,00;2025/06/02;NORTH;;✓
 tyler ;"""522""";06-03-2025;central;;
 steve ;"""1870""";3rd June 2025;central;;
ERICA;8635.001306,00;2025/06/21;NORTH;;bonus applied
Kevin;"""1912""";20 Jun 2025;south ;;
Kevin;2, 338.00;06-16-2025;weSt ;;
 melissa ;$661;06-13-2025;West;;  
 bailey ;"""1794""";17.06.2025;North;;
ASHLEE;2653.001125,00;05-14-2025;EAST;;duplicate?
JULIE;4138.001956,00;3rd June 2025;NORTH;;Late entry
Laurie;"""836""";3rd May 2025;North;;
CHRISTINE;"""1494""";23 May 2025;central;;
Debbie;1, 912.00;3rd June 2025;EAST;;duplicate?
Michael;5101.001420,00;22.05.2025;central;;  
 christopher ;2, 743.00;27.05.2025;EAST;;✓
Nancy;5667.002141,00;14 Jun 2025;central;;Late entry
 alyssa ;8050.00532,00;03 Jun 2025;weSt ;;duplicate?
Tammy;2, 847.00;07.06.2025;south ;;Late entry
MATTHEW;$756;17.05.2025;central;;
